at_index,sr_index,max_year,min_year,distance,class
16,23,1974,1973,0,0
26,10,1986,1979,4.234465253637023,1
26,1,1989,1986,3.2172307162206693,1
26,26,1986,1986,0,0
26,19,1986,1980,2,1
26,20,1986,1982,3,1
26,21,1986,1982,0,0
26,22,1986,1985,0.4998458870832054,0
26,11,1988,1986,2.1428728867680547,1
26,12,1986,1982,0,0
26,29,1987,1986,3.925999418556223,1
26,24,1986,1985,0,0
26,13,1986,1985,0,0
17,17,1972,1972,0,0
17,23,1973,1972,0,0
2,2,1995,1995,0,0
2,27,1995,1994,0,0
2,5,1995,1995,2.9378151688034193,1
2,6,1995,1994,0,0
2,8,1995,1993,2.4284997590854065,1
3,2,1995,1993,0.8789705101510819,0
3,3,1993,1993,0,0
3,4,1995,1993,1.5192530310937693,0
3,5,1995,1993,3.6158870739160567,1
3,6,1994,1993,1.2515387669959643,0
18,17,1972,1968,1,0
18,18,1968,1968,0,0
18,23,1973,1968,4.532999079099706,1
27,2,1995,1994,2.2122139182662783,1
27,3,1994,1993,0.6588570367357339,0
27,4,1995,1994,1.6500016224486478,0
27,6,1994,1994,3.321928094887362,1
27,8,1994,1993,1.6915341649192002,0
27,28,1994,1987,6.33360262826828,1
4,2,1995,1995,0.13615584028818845,0
4,27,1995,1994,0,0
4,4,1995,1995,0,0
4,5,1995,1995,2.305546953303906,1
4,6,1995,1994,0,0
4,8,1995,1993,1.5984247605277189,0
5,3,1995,1993,4.074424841126555,1
5,5,1995,1995,0,0
5,8,1995,1993,1.2061073377489584,0
6,2,1995,1994,0,0
6,4,1995,1994,0.11532580900914594,0
6,5,1995,1994,3.1512188069126124,1
6,6,1994,1994,0,0
6,8,1994,1993,0,0
19,14,1980,1977,3.501749132472175,1
19,10,1980,1979,1.0835233555622836,0
19,1,1989,1980,6.217230716220669,1
19,16,1980,1974,4,1
19,26,1986,1980,0,0
19,17,1980,1972,8.415037499278844,1
19,19,1980,1980,0,0
19,20,1982,1980,1,0
19,21,1982,1980,0,0
19,22,1985,1980,0.8330892951984018,0
19,12,1982,1980,0,0
19,29,1987,1980,4.5109619192773796,1
19,24,1985,1980,1.3389660252439,0
19,13,1985,1980,0.7502045092798715,0
20,14,1982,1977,3.501749132472175,1
20,1,1989,1982,6.217230716220669,1
20,26,1986,1982,2,1
20,19,1982,1980,1,0
20,20,1982,1982,0,0
20,21,1982,1982,0,0
20,22,1985,1982,0,0
20,11,1988,1982,7.142872886768054,1
20,24,1985,1982,2,1
20,13,1985,1982,1.1652420085587152,0
21,14,1982,1977,3.8956633401852643,1
21,1,1989,1982,5.409875794163065,1
21,26,1986,1982,1.5001541129167946,0
21,19,1982,1980,0,0
21,20,1982,1982,1,0
21,21,1982,1982,0,0
21,22,1985,1982,0.4998458870832054,0
21,11,1988,1982,6.142872886768054,1
21,24,1985,1982,1.4998458870832054,0
21,13,1985,1982,0.7502045092798715,0
22,10,1985,1979,4,1
22,1,1989,1985,5.895302621333307,1
22,26,1986,1985,0.20753504002005516,0
22,19,1985,1980,2,1
22,20,1985,1982,3,1
22,21,1985,1982,1,0
22,22,1985,1985,0,0
22,11,1988,1985,4.142872886768054,1
22,12,1985,1982,0,0
22,24,1985,1985,1.3389660252439,0
22,13,1985,1985,0,0
11,10,1988,1979,5.1520030934450505,1
11,1,1989,1988,2.1087062594425,1
11,26,1988,1986,1.1355042973484182,0
11,22,1988,1985,1.7028329092470604,0
11,11,1988,1988,0,0
11,7,1989,1988,1,0
11,12,1988,1982,0,0
11,28,1988,1987,0,0
11,29,1988,1987,0,0
11,24,1988,1985,1.4998458870832054,0
11,30,1990,1988,0.8503785745178658,0
11,13,1988,1985,0,0
7,1,1989,1989,1.8953026213333068,0
7,26,1989,1986,2,1
7,22,1989,1985,1.9984067419243325,0
7,11,1989,1988,1.1428728867680544,0
7,7,1989,1989,0,0
7,28,1989,1987,0,0
7,29,1989,1987,0.5109619192773793,0
7,24,1989,1985,2,1
7,30,1990,1989,2.599912842187128,1
7,13,1989,1985,0,0
23,17,1973,1972,3,1
23,18,1973,1968,4.234465253637023,1
23,23,1973,1973,0,0
12,21,1982,1982,0,0
12,22,1985,1982,1.2070641378553595,0
12,11,1988,1982,4.142872886768054,1
12,28,1987,1982,4.33360262826828,1
12,29,1987,1982,3.263034405833794,1
12,13,1985,1982,2.2203835627511763,1
8,2,1995,1993,0.8789705101510819,0
8,27,1994,1993,0,0
8,4,1995,1993,4.503712180197992,1
8,5,1995,1993,4.937815168803419,1
8,8,1993,1993,0,0
8,28,1993,1987,6.33360262826828,1
28,1,1989,1987,4.473069620650259,1
28,26,1987,1986,5,1
28,22,1987,1985,3.499845887083205,1
28,11,1988,1987,0.5429600445809268,0
28,7,1989,1987,5,1
28,28,1987,1987,0,0
28,29,1987,1987,1.011116032194174,0
28,30,1990,1987,3.599912842187128,1
28,13,1987,1985,1.1502916670927439,0
29,1,1989,1987,2.5907915795233536,1
29,26,1987,1986,5,1
29,22,1987,1985,2.7080318159213794,1
29,11,1988,1987,0.809717536457438,0
29,7,1989,1987,5,1
29,12,1987,1982,0,0
29,28,1987,1987,0,0
29,29,1987,1987,0,0
29,30,1990,1987,5.599912842187128,1
24,1,1989,1985,3.2172307162206693,1
24,26,1986,1985,0.19264507794239583,0
24,19,1985,1980,2,1
24,20,1985,1982,3,1
24,21,1985,1982,0,0
24,22,1985,1985,0,0
24,11,1988,1985,3.1428728867680547,1
24,24,1985,1985,0,0
24,13,1985,1985,0,0
30,1,1990,1989,0.21723071622066914,0
30,26,1990,1986,4,1
30,11,1990,1988,3.476116294883251,1
30,7,1990,1989,2.5999744820859765,1
30,28,1990,1987,2.9344315344484575,1
30,29,1990,1987,3.5109619192773796,1
30,24,1990,1985,2.499845887083205,1
30,30,1990,1990,0,0
30,13,1990,1985,2.7502045092798713,1
13,10,1985,1979,3.678071905112638,1
13,22,1985,1985,1,0
13,11,1988,1985,2.1428728867680547,1
13,12,1985,1982,0,0
13,29,1987,1985,2.5109619192773796,1
13,13,1985,1985,0,0
